time,V(vout),V(n001)
5.193598403854284e-005,2.752719e+000,-6.026704e-001
5.382459449424469e-005,2.632213e+000,-1.186060e+000
5.582459449424496e-005,2.551904e+000,-1.785396e+000
5.782459449424522e-005,2.521246e+000,-2.356469e+000
5.982459449424549e-005,2.534675e+000,-2.890279e+000
6.182459449424575e-005,2.585621e+000,-3.378410e+000
6.382459449424602e-005,2.667393e+000,-3.813170e+000
6.582459449424628e-005,2.773256e+000,-4.187707e+000
6.782459449424655e-005,2.896499e+000,-4.496120e+000
6.982459449424681e-005,3.030514e+000,-4.733550e+000
7.182459449424708e-005,3.168868e+000,-4.896255e+000
7.382459449424735e-005,3.305384e+000,-4.981675e+000
7.582459449424761e-005,3.434209e+000,-4.988464e+000
7.782459449424788e-005,3.549886e+000,-4.916521e+000
7.982459449424814e-005,3.647420e+000,-4.766983e+000
8.182459449424841e-005,3.722338e+000,-4.542210e+000
8.382459449424867e-005,3.770739e+000,-4.245751e+000
8.582459449424894e-005,3.789344e+000,-3.882283e+000
8.782459449424920e-005,3.775527e+000,-3.457542e+000
8.982459449424947e-005,3.727349e+000,-2.978229e+000
9.182459449424973e-005,3.643569e+000,-2.451905e+000
9.382459449425000e-005,3.523656e+000,-1.886874e+000
9.582459449425027e-005,3.367787e+000,-1.292051e+000
9.807459449425078e-005,3.158479e+000,-5.989773e-001
9.857459449425128e-005,3.103376e+000,-4.428474e-001
9.957459449425055e-005,2.991474e+000,-1.295263e-001
1.008947809478765e-004,2.846488e+000,2.768487e-001
1.009145808898715e-004,2.844445e+000,2.830602e-001
1.015566941314955e-004,2.787160e+000,4.847775e-001
1.021988073731195e-004,2.735875e+000,6.849663e-001
1.028409206147435e-004,2.690592e+000,8.836263e-001
1.034830338563676e-004,2.651308e+000,1.080758e+000
1.041251470979916e-004,2.618026e+000,1.276361e+000
1.047672603396156e-004,2.590743e+000,1.470435e+000
1.054093735812396e-004,2.569462e+000,1.662980e+000
1.074093735812399e-004,2.527936e+000,2.240679e+000
1.094093735812401e-004,2.531911e+000,2.782939e+000
1.114093735812404e-004,2.574843e+000,3.281213e+000
1.134093735812407e-004,2.650055e+000,3.727647e+000
1.154093735812409e-004,2.750812e+000,4.115207e+000
1.174093735812412e-004,2.870386e+000,4.437784e+000
1.194093735812415e-004,3.002139e+000,4.690297e+000
1.214093735812417e-004,3.139591e+000,4.868767e+000
1.234093735812420e-004,3.276778e+000,4.970383e+000
1.251665622265460e-004,3.392612e+000,4.994943e+000
1.267712144496416e-004,3.490088e+000,4.964188e+000
1.287712144496418e-004,3.596698e+000,4.855300e+000
1.307712144496421e-004,3.683681e+000,4.669785e+000
1.327712144496424e-004,3.746156e+000,4.410570e+000
1.347712144496426e-004,3.780509e+000,4.081746e+000
1.367712144496429e-004,3.783765e+000,3.688501e+000
1.387712144496432e-004,3.753617e+000,3.237040e+000
1.407712144496434e-004,3.688453e+000,2.734486e+000
1.427712144496437e-004,3.587367e+000,2.188766e+000
1.447712144496439e-004,3.450163e+000,1.608491e+000
1.467712144496442e-004,3.277347e+000,1.002820e+000
1.487712144496445e-004,3.076977e+000,3.813304e-001
1.507712144496447e-004,2.865426e+000,-2.380685e-001
1.508019676030887e-004,2.862256e+000,-2.477197e-001
1.513555243650951e-004,2.811164e+000,-4.215820e-001
1.519090811271015e-004,2.764764e+000,-5.944705e-001
1.524626378891079e-004,2.723055e+000,-7.663851e-001
1.530161946511143e-004,2.686038e+000,-9.373258e-001
1.535697514131207e-004,2.653712e+000,-1.107293e+000
1.541233081751271e-004,2.626077e+000,-1.276286e+000
1.546768649371335e-004,2.603134e+000,-1.444305e+000
1.566768649371338e-004,2.543329e+000,-2.032731e+000
1.586768649371340e-004,2.531167e+000,-2.588995e+000
1.606768649371343e-004,2.560393e+000,-3.104330e+000
1.626768649371346e-004,2.624370e+000,-3.570613e+000
1.646768649371348e-004,2.716376e+000,-3.980496e+000
1.666768649371351e-004,2.829670e+000,-4.327520e+000
1.686768649371354e-004,2.957572e+000,-4.606215e+000
1.706768649371356e-004,3.093534e+000,-4.812193e+000
1.726768649371359e-004,3.231473e+000,-4.942208e+000
1.743798827364244e-004,3.345780e+000,-4.991469e+000
1.762694153270624e-004,3.464164e+000,-4.979249e+000
1.782694153270627e-004,3.575545e+000,-4.889906e+000
1.802694153270629e-004,3.667944e+000,-4.723388e+000
1.822694153270632e-004,3.736844e+000,-4.482325e+000
1.842694153270635e-004,3.778477e+000,-4.170519e+000
1.862694153270637e-004,3.789702e+000,-3.792893e+000
1.882694153270640e-004,3.768043e+000,-3.355403e+000
1.902694153270643e-004,3.711711e+000,-2.864953e+000
1.922694153270645e-004,3.619623e+000,-2.329278e+000
1.942694153270648e-004,3.491404e+000,-1.756832e+000
1.962694153270651e-004,3.327384e+000,-1.156647e+000
1.982694153270653e-004,3.135715e+000,-5.382051e-001
1.985194153270656e-004,3.109165e+000,-4.601033e-001
1.990194153270661e-004,3.053036e+000,-3.035865e-001
1.991444153270662e-004,3.038728e+000,-2.644080e-001
1.993944153270665e-004,3.009641e+000,-1.860181e-001
1.994569153270665e-004,3.002302e+000,-1.664187e-001
1.995819153270666e-004,2.987507e+000,-1.272467e-001
1.996131653270658e-004,2.983794e+000,-1.174864e-001
1.996209778270652e-004,2.982863e+000,-1.150609e-001
1.996366028270656e-004,2.981000e+000,-1.115639e-001
1.996405090770662e-004,2.980535e+000,-1.115692e-001
1.996483215770655e-004,2.979604e+000,-1.115702e-001
1.996639465770660e-004,2.977743e+000,-1.095330e-001
1.996678528270665e-004,2.977278e+000,-1.083299e-001
1.996756653270659e-004,2.976349e+000,-1.059041e-001
1.996912903270663e-004,2.974496e+000,-1.010268e-001
1.997225403270655e-004,2.970806e+000,-9.124101e-002
1.997850403270655e-004,2.963487e+000,-7.163600e-002
1.999100403270657e-004,2.949099e+000,-3.238888e-002
2.001600403270659e-004,2.921310e+000,4.614255e-002
2.006600403270664e-004,2.869605e+000,2.031812e-001
2.016600403270657e-004,2.781069e+000,5.165136e-001
2.036600403270659e-004,2.645529e+000,1.135776e+000
2.056600403270662e-004,2.559115e+000,1.737023e+000
2.076600403270665e-004,2.523761e+000,2.310769e+000
2.096600403270667e-004,2.533088e+000,2.847972e+000
2.116600403270670e-004,2.580533e+000,3.340163e+000
2.136600403270673e-004,2.659409e+000,3.779585e+000
2.156600403270675e-004,2.762977e+000,4.159315e+000
2.176600403270678e-004,2.884518e+000,4.473367e+000
2.196600403270681e-004,3.017409e+000,4.716794e+000
2.216600403270683e-004,3.155199e+000,4.885762e+000
2.236600403270686e-004,3.291681e+000,4.977608e+000
2.256600403270689e-004,3.421135e+000,4.990888e+000
2.275746370282803e-004,3.533121e+000,4.929794e+000
2.295746370282806e-004,3.632691e+000,4.789849e+000
2.315746370282808e-004,3.710361e+000,4.574309e+000
2.335746370282811e-004,3.761993e+000,4.286577e+000
2.355746370282814e-004,3.784225e+000,3.931191e+000
2.375746370282816e-004,3.774348e+000,3.513761e+000
2.395746370282819e-004,3.730331e+000,3.040871e+000
2.415746370282822e-004,3.650846e+000,2.519983e+000
2.435746370282824e-004,3.535273e+000,1.959313e+000
2.455746370282827e-004,3.383698e+000,1.367709e+000
2.475746370282830e-004,3.196907e+000,7.545121e-001
2.495746370282832e-004,2.988148e+000,1.295392e-001
2.515746370282835e-004,2.778828e+000,-4.898179e-001
2.516058870282827e-004,2.775879e+000,-4.995883e-001
2.521683870282827e-004,2.731590e+000,-6.754307e-001
2.527308870282828e-004,2.691917e+000,-8.499461e-001
2.532933870282829e-004,2.656860e+000,-1.023135e+000
2.538558870282829e-004,2.626418e+000,-1.194996e+000
2.544183870282830e-004,2.600593e+000,-1.365531e+000
2.549808870282831e-004,2.579383e+000,-1.534738e+000
2.555433870282831e-004,2.562790e+000,-1.702619e+000
2.575433870282834e-004,2.525480e+000,-2.278222e+000
2.595433870282837e-004,2.533165e+000,-2.817794e+000
2.615433870282839e-004,2.579292e+000,-3.312830e+000
2.635433870282842e-004,2.657187e+000,-3.755528e+000
2.655433870282845e-004,2.760116e+000,-4.138913e+000
2.675433870282847e-004,2.881360e+000,-4.456942e+000
2.695433870282850e-004,3.014291e+000,-4.704605e+000
2.715433870282853e-004,3.152450e+000,-4.877999e+000
2.735433870282855e-004,3.289618e+000,-4.974394e+000
2.755433870282858e-004,3.420188e+000,-4.992274e+000
2.773847408404345e-004,3.529335e+000,-4.939055e+000
2.793847408404347e-004,3.630987e+000,-4.806422e+000
2.813847408404350e-004,3.711251e+000,-4.597931e+000
2.833847408404353e-004,3.765803e+000,-4.316875e+000
2.853847408404355e-004,3.791224e+000,-3.967688e+000
2.873847408404358e-004,3.784740e+000,-3.555880e+000
2.893847408404360e-004,3.744260e+000,-3.087948e+000
2.913847408404363e-004,3.668390e+000,-2.571275e+000
2.933847408404366e-004,3.556441e+000,-2.014011e+000
2.953847408404368e-004,3.408436e+000,-1.424949e+000
2.973847408404371e-004,3.225096e+000,-8.133894e-001
2.993847408404374e-004,3.014688e+000,-1.890424e-001
2.996347408404376e-004,2.986358e+000,-1.107040e-001
3.001347408404381e-004,2.928412e+000,3.819172e-002
3.001503658404386e-004,2.926645e+000,4.310016e-002
3.004316158404385e-004,2.896291e+000,1.314949e-001
3.007128658404384e-004,2.867502e+000,2.197884e-001
3.009941158404383e-004,2.840278e+000,3.079809e-001
3.012753658404382e-004,2.814619e+000,3.960723e-001
3.015566158404381e-004,2.790524e+000,4.840626e-001
3.018378658404380e-004,2.767993e+000,5.719518e-001
3.021191158404379e-004,2.747027e+000,6.597399e-001
3.041191158404382e-004,2.624255e+000,1.275724e+000
3.061191158404385e-004,2.549435e+000,1.871484e+000
3.081191158404387e-004,2.524282e+000,2.437624e+000
3.101191158404390e-004,2.542367e+000,2.965220e+000
3.121191158404393e-004,2.597086e+000,3.445957e+000
3.141191158404395e-004,2.681733e+000,3.872258e+000
3.161191158404398e-004,2.789563e+000,4.237406e+000
3.181191158404401e-004,2.913870e+000,4.535646e+000
3.201191158404403e-004,3.048061e+000,4.762280e+000
3.221191158404406e-004,3.185731e+000,4.913736e+000
3.241191158404409e-004,3.320740e+000,4.987632e+000
3.261191158404411e-004,3.447285e+000,4.982805e+000
3.281191158404414e-004,3.559969e+000,4.899334e+000
3.301191158404417e-004,3.653866e+000,4.738540e+000
3.321191158404419e-004,3.724580e+000,4.502961e+000
3.341191158404422e-004,3.768297e+000,4.196315e+000
3.361191158404425e-004,3.781827e+000,3.823440e+000
3.381191158404427e-004,3.762643e+000,3.390221e+000
3.401191158404430e-004,3.708903e+000,2.903491e+000
3.421191158404432e-004,3.619469e+000,2.370929e+000
3.441191158404435e-004,3.493912e+000,1.800939e+000
3.461191158404438e-004,3.332511e+000,1.202514e+000
3.481191158404440e-004,3.143399e+000,5.851073e-001
3.488691158404448e-004,3.061639e+000,3.506824e-001
3.492441158404452e-004,3.018695e+000,2.331622e-001
3.494316158404454e-004,2.996783e+000,1.743686e-001
3.494628658404445e-004,2.993104e+000,1.645710e-001
3.495253658404446e-004,2.985718e+000,1.449838e-001
3.495409908404450e-004,2.983867e+000,1.400903e-001
3.495722408404442e-004,2.980159e+000,1.303159e-001
3.495800533404436e-004,2.979231e+000,1.278775e-001
3.495956783404440e-004,2.977372e+000,1.230260e-001
3.496269283404432e-004,2.973661e+000,1.203444e-001
3.496894283404432e-004,2.966258e+000,1.016329e-001
3.497050533404437e-004,2.964417e+000,9.673525e-002
3.497363033404428e-004,2.960755e+000,8.693390e-002
3.497988033404429e-004,2.953494e+000,6.731731e-002
3.499238033404430e-004,2.939220e+000,2.806329e-002
3.501738033404433e-004,2.911657e+000,-5.047134e-002
3.506738033404438e-004,2.860397e+000,-2.075083e-001
3.516738033404430e-004,2.772717e+000,-5.208210e-001
3.536738033404433e-004,2.638795e+000,-1.139992e+000
3.556738033404436e-004,2.553882e+000,-1.741080e+000
3.576738033404438e-004,2.519900e+000,-2.314605e+000
3.596738033404441e-004,2.530475e+000,-2.851524e+000
3.616738033404444e-004,2.579048e+000,-3.343377e+000
