time,V(vout),V(n001)
5.403676854003406e-005,3.143306e+000,-1.250166e+000
5.603676854003432e-005,3.140341e+000,-1.846875e+000
5.803676854003459e-005,3.138523e+000,-2.414390e+000
6.003676854003485e-005,3.137782e+000,-2.943761e+000
6.203676854003512e-005,3.138032e+000,-3.426637e+000
6.403676854003539e-005,3.139171e+000,-3.855403e+000
6.603676854003565e-005,3.141082e+000,-4.223296e+000
6.803676854003592e-005,3.143636e+000,-4.524513e+000
7.003676854003618e-005,3.146696e+000,-4.754306e+000
7.203676854003645e-005,3.150115e+000,-4.909050e+000
7.403676854003671e-005,3.153739e+000,-4.986303e+000
7.603676854003698e-005,3.157413e+000,-4.984849e+000
7.803676854003724e-005,3.160980e+000,-4.904710e+000
8.003676854003751e-005,3.164286e+000,-4.747150e+000
8.203676854003777e-005,3.167179e+000,-4.514654e+000
8.403676854003804e-005,3.169514e+000,-4.210889e+000
8.603676854003831e-005,3.171155e+000,-3.840646e+000
8.803676854003857e-005,3.171978e+000,-3.409764e+000
9.003676854003884e-005,3.171870e+000,-2.925039e+000
9.203676854003910e-005,3.170734e+000,-2.394117e+000
9.403676854003937e-005,3.168487e+000,-1.825371e+000
9.603676854003963e-005,3.165067e+000,-1.227775e+000
9.828676854004015e-005,3.160056e+000,-5.327597e-001
9.891176854004077e-005,3.158306e+000,-3.372139e-001
9.916176854004102e-005,3.157562e+000,-2.588385e-001
9.966176854004152e-005,3.156046e+000,-1.019940e-001
1.004539764602568e-004,3.153639e+000,1.382154e-001
1.004660751019355e-004,3.153603e+000,1.420140e-001
1.009050829571534e-004,3.152365e+000,2.799444e-001
1.013440908123713e-004,3.151192e+000,4.174330e-001
1.017830986675891e-004,3.150085e+000,5.544796e-001
1.022221065228070e-004,3.149043e+000,6.910842e-001
1.026611143780248e-004,3.148066e+000,8.272469e-001
1.031001222332427e-004,3.147154e+000,9.629677e-001
1.035391300884606e-004,3.146307e+000,1.098247e+000
1.055391300884608e-004,3.143008e+000,1.700770e+000
1.075391300884611e-004,3.140800e+000,2.276406e+000
1.095391300884614e-004,3.139689e+000,2.816074e+000
1.115391300884616e-004,3.139592e+000,3.311262e+000
1.135391300884619e-004,3.140410e+000,3.754158e+000
1.155391300884621e-004,3.142031e+000,4.137778e+000
1.175391300884624e-004,3.144329e+000,4.456073e+000
1.195391300884627e-004,3.147168e+000,4.704021e+000
1.215391300884629e-004,3.150403e+000,4.877713e+000
1.235391300884632e-004,3.153882e+000,4.974410e+000
1.255391300884635e-004,3.157453e+000,4.992586e+000
1.273778107330342e-004,3.160680e+000,4.939753e+000
1.293778107330345e-004,3.163978e+000,4.807486e+000
1.313778107330348e-004,3.166916e+000,4.599332e+000
1.333778107330350e-004,3.169343e+000,4.318573e+000
1.353778107330353e-004,3.171121e+000,3.969638e+000
1.373778107330356e-004,3.172120e+000,3.558030e+000
1.393778107330358e-004,3.172223e+000,3.090240e+000
1.413778107330361e-004,3.171329e+000,2.573647e+000
1.433778107330364e-004,3.169350e+000,2.016399e+000
1.453778107330366e-004,3.166216e+000,1.427287e+000
1.473778107330369e-004,3.161876e+000,8.156109e-001
1.493778107330371e-004,3.156606e+000,1.911002e-001
1.494090607330363e-004,3.156514e+000,1.813004e-001
1.494715607330364e-004,3.156319e+000,1.617081e-001
1.494871857330368e-004,3.156270e+000,1.568134e-001
1.495184357330360e-004,3.156172e+000,1.470363e-001
1.495262482330353e-004,3.156147e+000,1.445973e-001
1.495418732330358e-004,3.156098e+000,1.397444e-001
1.495731232330350e-004,3.155999e+000,1.370656e-001
1.496356232330350e-004,3.155803e+000,1.187215e-001
1.496512482330355e-004,3.155754e+000,1.138257e-001
1.496824982330346e-004,3.155656e+000,1.040287e-001
1.497449982330347e-004,3.155462e+000,8.442055e-002
1.498699982330348e-004,3.155078e+000,4.518206e-002
1.501199982330351e-004,3.154329e+000,-3.332565e-002
1.506199982330356e-004,3.152905e+000,-1.903245e-001
1.516199982330348e-004,3.150346e+000,-5.036229e-001
1.536199982330351e-004,3.146072e+000,-1.123009e+000
1.556199982330354e-004,3.142849e+000,-1.724628e+000
1.576199982330356e-004,3.140785e+000,-2.298983e+000
1.596199982330359e-004,3.139813e+000,-2.837014e+000
1.616199982330362e-004,3.139852e+000,-3.330233e+000
1.636199982330364e-004,3.140802e+000,-3.770862e+000
1.656199982330367e-004,3.142549e+000,-4.151952e+000
1.676199982330370e-004,3.144969e+000,-4.467492e+000
1.696199982330372e-004,3.147923e+000,-4.712506e+000
1.716199982330375e-004,3.151266e+000,-4.883130e+000
1.736199982330378e-004,3.154848e+000,-4.976673e+000
1.756199982330380e-004,3.158514e+000,-4.991660e+000
1.775094560913359e-004,3.161912e+000,-4.933426e+000
1.795094560913361e-004,3.165287e+000,-4.796087e+000
1.815094560913364e-004,3.168291e+000,-4.583040e+000
1.835094560913367e-004,3.170774e+000,-4.297645e+000
1.855094560913369e-004,3.172599e+000,-3.944404e+000
1.875094560913372e-004,3.173636e+000,-3.528887e+000
1.895094560913375e-004,3.173772e+000,-3.057649e+000
1.915094560913377e-004,3.172903e+000,-2.538121e+000
1.935094560913380e-004,3.170943e+000,-1.978499e+000
1.955094560913383e-004,3.167825e+000,-1.387611e+000
1.975094560913385e-004,3.163498e+000,-7.747836e-001
1.995094560913388e-004,3.158239e+000,-1.497604e-001
1.995407060913380e-004,3.158147e+000,-1.399561e-001
1.996032060913380e-004,3.157952e+000,-1.203542e-001
1.997282060913382e-004,3.157560e+000,-8.878049e-002
1.999782060913384e-004,3.156781e+000,-1.118103e-002
2.000348767922343e-004,3.156606e+000,6.612054e-003
2.001482181940260e-004,3.156263e+000,4.220256e-002
2.003749009976078e-004,3.155591e+000,1.133854e-001
2.008282666047731e-004,3.154307e+000,2.556817e-001
2.017349978191037e-004,3.151978e+000,5.395497e-001
2.035484602477631e-004,3.148039e+000,1.101103e+000
2.055484602477634e-004,3.144703e+000,1.703524e+000
2.075484602477636e-004,3.142500e+000,2.279012e+000
2.095484602477639e-004,3.141392e+000,2.818492e+000
2.115484602477642e-004,3.141299e+000,3.313453e+000
2.135484602477644e-004,3.142120e+000,3.756089e+000
2.155484602477647e-004,3.143743e+000,4.139418e+000
2.175484602477650e-004,3.146043e+000,4.457395e+000
2.195484602477652e-004,3.148883e+000,4.705005e+000
2.215484602477655e-004,3.152118e+000,4.878343e+000
2.235484602477657e-004,3.155597e+000,4.974676e+000
2.255484602477660e-004,3.159167e+000,4.992484e+000
2.273929997826541e-004,3.162402e+000,4.939039e+000
2.293929997826544e-004,3.165697e+000,4.806186e+000
2.313929997826546e-004,3.168630e+000,4.597467e+000
2.333929997826549e-004,3.171052e+000,4.316172e+000
2.353929997826552e-004,3.172823e+000,3.966739e+000
2.373929997826554e-004,3.173814e+000,3.554678e+000
2.393929997826557e-004,3.173909e+000,3.086489e+000
2.413929997826560e-004,3.173006e+000,2.569556e+000
2.433929997826562e-004,3.171018e+000,2.012032e+000
2.453929997826565e-004,3.167874e+000,1.422713e+000
2.473929997826568e-004,3.163523e+000,8.109020e-001
2.493929997826570e-004,3.158242e+000,1.863340e-001
2.494242497826562e-004,3.158150e+000,1.765347e-001
2.494867497826563e-004,3.157954e+000,1.569456e-001
2.495023747826567e-004,3.157905e+000,1.520529e-001
2.495336247826559e-004,3.157807e+000,1.422887e-001
2.495414372826552e-004,3.157782e+000,1.398608e-001
2.495570622826557e-004,3.157733e+000,1.360149e-001
2.495609685326562e-004,3.157721e+000,1.360222e-001
2.495687810326556e-004,3.157696e+000,1.360274e-001
2.495844060326560e-004,3.157647e+000,1.346728e-001
2.495883122826566e-004,3.157634e+000,1.334793e-001
2.495961247826559e-004,3.157610e+000,1.310602e-001
2.496117497826564e-004,3.157561e+000,1.261884e-001
2.496429997826555e-004,3.157463e+000,1.164092e-001
2.497054997826556e-004,3.157268e+000,9.681403e-002
2.498304997826557e-004,3.156882e+000,5.758384e-002
2.500804997826560e-004,3.156129e+000,-2.091982e-002
2.505804997826565e-004,3.154697e+000,-1.779249e-001
2.515804997826557e-004,3.152123e+000,-4.912761e-001
2.535804997826560e-004,3.147820e+000,-1.110916e+000
2.555804997826563e-004,3.144568e+000,-1.712979e+000
2.575804997826565e-004,3.142476e+000,-2.287961e+000
2.595804997826568e-004,3.141478e+000,-2.826793e+000
2.615804997826571e-004,3.141492e+000,-3.320976e+000
2.635804997826573e-004,3.142420e+000,-3.762713e+000
2.655804997826576e-004,3.144147e+000,-4.145041e+000
2.675804997826579e-004,3.146549e+000,-4.461926e+000
2.695804997826581e-004,3.149488e+000,-4.708375e+000
2.715804997826584e-004,3.152820e+000,-4.880497e+000
2.735804997826587e-004,3.156393e+000,-4.975581e+000
2.755804997826589e-004,3.160054e+000,-4.992126e+000
2.774451576872394e-004,3.163406e+000,-4.936556e+000
2.794451576872397e-004,3.166785e+000,-4.801693e+000
2.814451576872400e-004,3.169797e+000,-4.591034e+000
2.834451576872402e-004,3.172294e+000,-4.307901e+000
2.854451576872405e-004,3.174137e+000,-3.956760e+000
2.874451576872408e-004,3.175197e+000,-3.543149e+000
2.894451576872410e-004,3.175357e+000,-3.073591e+000
2.914451576872413e-004,3.174516e+000,-2.555492e+000
2.934451576872416e-004,3.172588e+000,-1.997024e+000
2.954451576872418e-004,3.169503e+000,-1.406998e+000
2.974451576872421e-004,3.165209e+000,-7.947271e-001
2.994451576872424e-004,3.159946e+000,-1.699337e-001
2.996951576872426e-004,3.159201e+000,-9.163340e-002
2.997029701872420e-004,3.159176e+000,-9.024966e-002
2.997185951872424e-004,3.159127e+000,-9.025904e-002
2.997498451872416e-004,3.159028e+000,-8.280053e-002
2.997576576872409e-004,3.159003e+000,-8.036111e-002
2.997732826872414e-004,3.158954e+000,-7.547353e-002
2.998045326872405e-004,3.158856e+000,-6.568312e-002
2.998670326872406e-004,3.158661e+000,-4.607946e-002
2.999920326872407e-004,3.158276e+000,-6.842710e-003
3.002420326872410e-004,3.157524e+000,7.166109e-002
3.007420326872415e-004,3.156094e+000,2.286258e-001
3.017420326872407e-004,3.153523e+000,5.417450e-001
3.037420326872410e-004,3.149225e+000,1.160324e+000
