time,V(vout),V(n002)
7.239673726662232e-004,2.446156e-002,-9.866526e-002
7.439673726661322e-004,2.443108e-002,-9.992817e-002
7.627568766461756e-004,2.445648e-002,-9.967894e-002
7.827568766460846e-004,2.456505e-002,-9.788942e-002
8.027568766459936e-004,2.482799e-002,-9.455613e-002
8.227568766459026e-004,2.535881e-002,-8.973163e-002
8.427568766458116e-004,2.629828e-002,-8.349202e-002
8.627568766457205e-004,2.780519e-002,-7.593568e-002
8.827568766456295e-004,3.004202e-002,-6.718179e-002
9.027568766455385e-004,3.315415e-002,-5.736840e-002
9.227568766454475e-004,3.724382e-002,-4.665028e-002
9.427568766453565e-004,4.234648e-002,-3.519646e-002
9.627568766452654e-004,4.841900e-002,-2.318756e-002
9.827568766451744e-004,5.534372e-002,-1.081299e-002
1.002756876645083e-003,6.294500e-002,1.732110e-003
1.022756876644992e-003,7.101026e-002,1.424989e-002
1.042756876644901e-003,7.930954e-002,2.654295e-002
1.062756876644810e-003,8.761036e-002,3.841741e-002
1.082756876644719e-003,9.568794e-002,4.968600e-002
1.102756876644628e-003,1.033318e-001,6.017101e-002
1.122756876644537e-003,1.103503e-001,6.970710e-002
1.142756876644446e-003,1.165733e-001,7.814385e-002
1.162756876644355e-003,1.218545e-001,8.534823e-002
1.182756876644264e-003,1.260730e-001,9.120663e-002
1.202756876644173e-003,1.291344e-001,9.562664e-002
1.222756876644082e-003,1.309717e-001,9.853856e-002
1.242756876643991e-003,1.315529e-001,9.989646e-002
1.262306294468329e-003,1.308827e-001,9.970121e-002
1.282306294468238e-003,1.289471e-001,9.794689e-002
1.302306294468147e-003,1.258062e-001,9.464789e-002
1.322306294468056e-003,1.215254e-001,8.985624e-002
1.342306294467965e-003,1.162032e-001,8.364750e-002
1.362306294467874e-003,1.099639e-001,7.611959e-002
1.382306294467783e-003,1.029554e-001,6.739122e-002
1.402306294467692e-003,9.534788e-002,5.760006e-002
1.422306294467601e-003,8.733099e-002,4.690051e-002
1.442306294467510e-003,7.911091e-002,3.546131e-002
1.462306294467419e-003,7.090585e-002,2.346287e-002
1.482306294467328e-003,6.293958e-002,1.109440e-002
1.502306294467237e-003,5.543191e-002,-1.449037e-003
1.522306294467146e-003,4.858518e-002,-1.396962e-002
1.542306294467055e-003,4.256666e-002,-2.626989e-002
1.562306294466964e-003,3.748947e-002,-3.815587e-002
1.582306294466873e-003,3.339722e-002,-4.944011e-002
1.602306294466782e-003,3.025969e-002,-5.994465e-002
1.622306294466691e-003,2.798309e-002,-6.950383e-002
1.642306294466600e-003,2.643128e-002,-7.796688e-002
1.662306294466509e-003,2.544956e-002,-8.520036e-002
1.682306294466418e-003,2.488404e-002,-9.109017e-002
1.702306294466327e-003,2.459549e-002,-9.554344e-002
1.722306294466236e-003,2.447091e-002,-9.848993e-002
1.742306294466145e-003,2.443475e-002,-9.988318e-002
1.762138509682654e-003,2.445836e-002,-9.970929e-002
