time,V(vout)
1.638360922875393e-003,3.953471e+000
1.658360922875302e-003,4.730790e+000
1.678360922875211e-003,5.339466e+000
1.698360922875120e-003,5.782477e+000
1.718360922875029e-003,6.063930e+000
1.738360922874938e-003,6.187287e+000
1.758360922874847e-003,6.154014e+000
1.778360922874755e-003,5.962891e+000
1.798360922874664e-003,5.610148e+000
1.818360922874573e-003,5.090397e+000
1.838360922874482e-003,4.398167e+000
1.858360922874391e-003,3.529776e+000
1.878360922874300e-003,2.485113e+000
1.898360922874209e-003,1.330688e+000
1.918360922874118e-003,4.489973e-001
1.938360922874027e-003,1.444272e-001
1.958360922873936e-003,1.322245e-001
1.978360922873845e-003,1.326424e-001
1.998360922873754e-003,1.367626e-001
2.018360922873663e-003,1.427528e-001
2.038360922873572e-003,1.497512e-001
2.058360922873481e-003,1.572371e-001
2.078360922873390e-003,1.648154e-001
2.098360922873299e-003,1.721681e-001
2.118360922873208e-003,1.790446e-001
2.138360922873117e-003,1.852367e-001
2.158360922873026e-003,1.905713e-001
2.178360922872935e-003,1.949082e-001
2.198360922872844e-003,1.981385e-001
2.218360922872753e-003,2.001840e-001
2.238360922872662e-003,2.009968e-001
2.258360922872571e-003,2.005592e-001
2.278360922872480e-003,1.988837e-001
2.298360922872389e-003,1.960129e-001
2.318360922872298e-003,1.920190e-001
2.338360922872207e-003,1.870042e-001
2.358360922872116e-003,1.811007e-001
2.378360922872025e-003,1.744714e-001
2.398360922871934e-003,1.673122e-001
2.418360922871843e-003,1.598559e-001
2.438360922871752e-003,1.523815e-001
2.458360922871661e-003,1.452325e-001
2.478360922871570e-003,1.388580e-001
2.498360922871479e-003,1.339121e-001
2.518360922871388e-003,1.316333e-001
2.538360922871297e-003,1.354040e-001
2.558360922871206e-003,2.694185e-001
2.578360922871115e-003,8.430938e-001
2.598360922871024e-003,1.882392e+000
2.618360922870933e-003,2.993214e+000
2.638360922870842e-003,3.939765e+000
2.658360922870751e-003,4.717604e+000
2.678360922870660e-003,5.326735e+000
2.698360922870569e-003,5.770112e+000
2.718360922870478e-003,6.051814e+000
2.738360922870387e-003,6.175291e+000
2.758360922870295e-003,6.141998e+000
2.778360922870204e-003,5.950719e+000
2.798360922870113e-003,5.597696e+000
2.818360922870022e-003,5.077557e+000
2.838360922869931e-003,4.384861e+000
2.858360922869840e-003,3.515954e+000
2.878360922869749e-003,2.470752e+000
2.898360922869658e-003,1.319355e+000
2.918360922869567e-003,4.446584e-001
2.938360922869476e-003,1.440711e-001
2.958360922869385e-003,1.321960e-001
2.978360922869294e-003,1.326680e-001
2.998360922869203e-003,1.368114e-001
3.018360922869112e-003,1.428147e-001
3.038360922869021e-003,1.498214e-001
3.058360922868930e-003,1.573128e-001
3.078360922868839e-003,1.648947e-001
3.098360922868748e-003,1.722500e-001
3.118360922868657e-003,1.791282e-001
3.138360922868566e-003,1.853214e-001
3.158360922868475e-003,1.906566e-001
3.178360922868384e-003,1.949938e-001
3.198360922868293e-003,1.982241e-001
3.218360922868202e-003,2.002693e-001
3.238360922868111e-003,2.010815e-001
3.258360922868020e-003,2.006431e-001
3.278360922867929e-003,1.989666e-001
3.298360922867838e-003,1.960945e-001
3.318360922867747e-003,1.920991e-001
3.338360922867656e-003,1.870825e-001
3.358360922867565e-003,1.811769e-001
3.378360922867474e-003,1.745450e-001
3.398360922867383e-003,1.673827e-001
3.418360922867292e-003,1.599225e-001
3.438360922867201e-003,1.524430e-001
3.458360922867110e-003,1.452873e-001
3.478360922867019e-003,1.389032e-001
3.498360922866928e-003,1.339425e-001
3.518360922866837e-003,1.316354e-001
